Numero de Hilos;Ticks;Resultado;
1;40.764;7240;
2;17.581;7240;
3;16.788;7240;
4;16.357;7240;
5;15.505;7240;
6;18.504;7240;
7;27.478;7240;
8;27.797;7240;
9;36.512;7240;
10;40.902;7240;
11;56.754;7240;
12;48.928;7240;
13;59.396;7240;
14;69.262;7240;
15;83.178;7240;
16;128.182;7240;
17;155.650;7240;
18;109.084;7240;
19;127.674;7240;
20;131.275;7240;
21;127.573;7240;
22;125.078;7240;
23;108.143;7240;
24;116.704;7240;
25;127.930;7240;
26;145.273;7240;
27;108.467;7240;
28;135.460;7240;
29;103.744;7240;
30;99.720;7240;
31;156.764;7240;
32;136.982;7240;
33;237.427;7240;
34;184.578;7240;
35;123.970;7240;
36;162.528;7240;
37;424.382;7240;
38;161.128;7240;
39;157.229;7240;
40;164.605;7240;
41;253.031;7240;
42;167.910;7240;
43;201.584;7240;
44;183.664;7240;
45;234.293;7240;
46;277.568;7240;
47;183.641;7240;
48;213.109;7240;
49;213.774;7240;
50;205.806;7240;
