Numero de Hilos;Ticks;Resultado;
1;29.977;2826;
2;10.518;2826;
3;28.008;2826;
4;9.785;2826;
5;17.657;2826;
6;42.052;2826;
7;17.972;2826;
8;38.302;2826;
9;58.239;2826;
10;61.084;2826;
11;51.475;2826;
12;88.103;2826;
13;65.084;2826;
14;84.317;2826;
15;89.705;2826;
16;107.526;2826;
17;150.548;2826;
18;116.991;2826;
19;166.461;2826;
20;95.852;2826;
21;99.173;2826;
22;125.656;2826;
23;87.013;2826;
24;100.043;2826;
25;123.303;2826;
26;128.241;2826;
27;116.759;2826;
28;121.154;2826;
29;125.636;2826;
30;114.235;2826;
31;120.160;2826;
32;218.977;2826;
33;213.616;2826;
34;169.853;2826;
35;137.671;2826;
36;190.332;2826;
37;320.658;2826;
38;155.449;2826;
39;165.243;2826;
40;203.728;2826;
41;205.938;2826;
42;302.613;2826;
43;213.680;2826;
44;496.292;2826;
45;243.532;2826;
46;186.380;2826;
47;272.909;2826;
48;282.429;2826;
49;300.846;2826;
50;165.950;2826;
